code	description
81	video_start
82	video_start
83	video_start
84	video_start
90	resting_start
91	seqLearning_start
92	symbolSearch_start
93	surroundSuppB1_start
94	contrastChangeB1_start
95	contrastChangeB2_start
96	contrastChangeB3_start
97	surroundSuppB2_start
20	instructed_toOpenEyes
30	instructed_toCloseEyes
11	dot_no1_ON
12	dot_no2_ON
13	dot_no3_ON
14	dot_no4_ON
15	dot_no5_ON
16	dot_no6_ON
17	dot_no7_ON
18	dot_no8_ON
21	dot_no1_OFF
22	dot_no2_OFF
23	dot_no3_OFF
24	dot_no4_OFF
25	dot_no5_OFF
26	dot_no6_OFF
27	dot_no7_OFF
28	dot_no8_OFF
31	learningBlock_1
32	learningBlock_2
33	learningBlock_3
34	learningBlock_4
35	learningBlock_5
14_1	trialResponse
20	newPage
4	stim_ON
8	stim_OFF
5	contrastTrial_start
8_1	left_target
9	right_target
12_1	left_buttonPress
13_1	right_buttonPress
101	video_stop
102	video_stop
103	video_stop
104	video_stop
			
