FIELD_NAME	RAW_FILE_NAME	TARGET_FILE_NAME
RestingState	RestingState.mat	RestingState_1.set
SAIIT_2AFC_Block1	SAIIT_2AFC_Block1.mat	contrastChangeDetection_1.set
SAIIT_2AFC_Block2	SAIIT_2AFC_Block2.mat	contrastChangeDetection_2.set
SAIIT_2AFC_Block3	SAIIT_2AFC_Block3.mat	contrastChangeDetection_3.set
SurroundSupp_Block1	SurroundSupp_Block1.mat	surroundSupp_1.set
SurroundSupp_Block2	SurroundSupp_Block2.mat	surroundSupp_2.set
Video_DM	Video-DM.mat	DespicableMe_1.set
Video_FF	Video-FF.mat	FunwithFractals_1.set
Video_TP	Video-TP.mat	ThePresent_1.set
Video_WK	Video-WK.mat	DiaryOfAWimpyKid_1.set
Video1	Video1.mat	Video1_1.set
Video2	Video2.mat	Video2_1.set
Video3	Video3.mat	Video3_1.set
Video4	Video4.mat	Video4_1.set
WISC_ProcSpeed	WISC_ProcSpeed.mat	symbolSearch_1.set
vis_learn	vis_learn.mat	seqLearning_1.set
