participant_id,RestingState,SAIIT_2AFC_Block1,SAIIT_2AFC_Block2,SAIIT_2AFC_Block3,SurroundSupp_Block1,SurroundSupp_Block2,WISC_ProcSpeed,vis_learn,Video-DM,Video-FF,Video-WK,Video-TP
NDARAA408JMA,95401978,112925067,83305401,63807490,86080025,81089364,44695545,76773666,47242666,45943390,32818342,56131868
NDARAB634CP7,125509365,60934432,82526318,60074762,85654672,64193140,47993901,76223699,0,0,0,0
NDARAE245YC7,97866933,78366655,0,0,80951132,0,44303756,61001251,56177095,53539403,58994024,56628121
NDARAG959XTG,0,42003630,34311770,0,52297827,0,23868819,42465102,27948317,22445932,36191364,28237553
NDARAH276NPP,0,0,37578679,35019275,51751844,41520680,23571026,31658018,24158563,23619692,16768853,28950142
NDARAM170JXG,0,0,0,0,39893075,0,24386842,39346116,32694801,40833892,20376220,27604550
NDARAP654FVP,100159066,124074941,127486615,92764073,87052174,96820572,44333300,58840354,47950452,46051909,34097322,57445866
NDARAR841XX5,0,509580348,69914567,91218160,0,92433660,0,0,49084186,48349512,33990102,58302042
NDARAT876TZH,98636158,90254061,66791814,95701733,73115249,116103471,0,0,48438141,46688757,33217597,56238501
NDARAU513KLB,99457606,111914923,0,0,112654287,0,180373774,37127339,0,0,70696877,0
NDARAV021BGC,0,0,0,0,37267796,0,24168980,33274033,0,0,0,0
NDARAV160YUL,0,0,0,0,0,0,21558372,30203390,31504146,27738467,20628482,28143050
NDARAX256WAC,0,29546241,34318846,33795214,52451133,40533582,28281906,51932140,23738350,23099753,16440675,28076612
NDARAX310KGP,153291671,70153068,83333437,82322338,78239431,83967497,69091668,76043422,48437827,47322644,33770055,57995914
NDARAX700TR4,0,0,37075115,47920995,39084870,51936981,59094938,9770511,24301786,22351699,16774224,28427719
NDARAY581YVJ,0,489208039,67299797,66313778,0,0,0,0,46657916,45432140,43571282,55383738
NDARAZ370YRF,190101234,0,0,0,0,0,0,0,55314354,55289116,40953128,57391807
NDARBC072ZTZ,0,28473856,33520007,32276893,42893188,39451935,63165314,51179626,23305300,22333498,16047343,27687063
NDARBD681AAN,154650765,75579656,71039395,86407370,75981393,0,47127146,76347007,48594406,47568923,44287608,58441651
NDARBE052JRG,0,28743624,0,0,35706905,0,21870301,59437382,0,81211825,0,0
NDARBG014EZW,0,0,0,0,0,0,29991202,25654174,36902261,24554788,18669858,25387730
NDARBG672ZAY,0,30859883,32658999,33492290,41887265,0,23145463,49159442,22992451,23565620,21282618,27529543
NDARBK051RPR,104791582,67165973,67977068,70671336,80901028,84344230,44276377,86995358,48338024,46195993,33082090,57018677
NDARBK887DTY,0,0,190250685,0,190733730,0,56571975,37067118,24876319,0,0,0
NDARBT041ZVD,0,37598846,84077417,0,45513666,39813391,22075232,42210565,0,96054295,0,28275986
NDARBU536MBB,43483650,313205078,34591950,40191234,39321381,42669924,23662777,50836545,24740517,23447129,16999448,29157387
NDARBU638RCC,0,0,0,0,0,0,0,0,0,0,0,0
NDARBV174WZW,105470678,88382804,69835772,72556546,83472477,97425242,45877004,81171114,50052246,47544360,34520951,59049416
NDARBV702GXD,0,39549261,34228620,64286584,56641945,42105507,41671664,37823765,24379831,23377829,16935451,29321872
NDARBY526RLB,0,51927665,100510941,0,40130021,42622673,36315655,29149466,0,0,16688475,28545500
NDARCA900TPD,49572520,43183171,39187097,44224048,94150686,43249263,22978257,58557175,24378473,23214257,16762344,28651433
NDARCB955UGN,122312691,0,0,0,46682140,0,40280118,59144127,52534175,49283507,37967334,56156693
NDARCC489EJG,0,29680412,34609310,35044967,36335766,0,23108465,29651758,23507812,23188878,20641567,27936398
NDARCD303NCU,102607388,68655620,74742890,69682877,87134134,80544513,44439485,81718362,47080364,46213415,32499942,55637801
NDARCE396XJC,0,0,0,0,0,45851438,0,0,28394114,22974735,20919893,28547123
NDARCH556DM5,95790647,0,0,0,74289890,0,0,0,0,0,0,0
NDARCH706VKG,95398082,76894849,83401240,0,68834434,0,44245723,61537315,66535160,45177950,39169848,54835877
NDARCJ372MF0,94502246,82290072,78772975,67352027,71512432,89877190,57423856,122928839,45644331,44634113,31716716,54681020
