subject	sixty	seventy	eighty	ninety
NDARCW611MK5	45	39	33	28
NDARAV610EY3	40	34	29	23
NDARGB102NWJ	35	34	27	19
NDARMR039JV5	40	34	28	22
NDARCU865PBV	34	33	31	25
NDARAE828CML	35	29	25	19
NDAREM887YY8	33	29	22	15
NDARKU198KFL	33	29	28	25
NDARLX836EHJ	32	29	22	20
NDARZJ603JM0	34	29	22	16
NDARFG757CEU	31	28	23	17
NDARRL685WB7	32	28	27	18
NDAREK549XUQ	33	27	22	16
NDARKM941XLL	30	27	26	19
NDARVT488RXJ	31	27	19	15
NDARAV519RND	26	26	22	12
NDARNK768THB	32	26	18	11
NDARRK882CLT	33	26	20	13
NDARXT822TAA	28	26	21	15
NDARFF644ZGD	27	25	23	20
NDARHM413HVA	27	25	21	16
NDARJY747PRJ	27	24	19	14
NDARKA085YRG	28	24	22	13
NDARVY054WEA	26	24	17	11
NDARCH881EFG	24	23	20	13
NDARDC389TLD	24	23	22	16
NDARLR030EW6	24	23	18	17
NDARMJ849UKD	23	23	17	12
NDARPE056ACA	24	23	19	14
NDARPW786GC4	30	23	21	13
NDARTE424BUF	26	23	17	16
NDARZU822WN3	32	23	13	7
NDARAD774HAZ	26	22	17	12
NDARBU668NTV	24	22	21	18
NDARYF728BEP	26	22	18	14
NDARFA402LMW	22	21	20	16
NDARGW404GJL	22	21	20	19
NDARHR372GJ7	27	21	16	8
NDARTF566PYH	22	21	20	12
NDARUF152ARR	21	21	19	13
NDARZE831DKC	29	21	14	7
NDARBM642JFT	25	20	15	9
NDARCU118LMX	26	20	17	13
NDARDY150ZP9	25	20	17	11
NDARFV780ABD	21	20	16	12
NDARGL359WZA	23	20	17	15
NDARJZ526HN3	23	20	18	14
NDARLJ654TZ0	23	20	17	12
NDARMZ687XRR	23	20	13	8
NDARRX443NVT	21	20	16	11
NDARUJ779NM0	25	20	11	9
NDARUM791WPF	24	20	15	12
NDARUY811CYU	22	20	16	13
NDARWV625CRP	25	20	13	8
NDARDE294HNX	20	19	15	10
NDARGT551AFK	22	19	17	10
NDARLF142AF5	22	19	17	13
NDARXB889WUB	23	19	16	14
NDARXV445NYZ	21	19	16	14
NDARBG574KF4	19	18	14	9
NDARBG831VK4	24	18	10	4
NDARJZ274PRQ	19	18	17	13
NDARKU616UBL	20	18	18	14
NDARNU497GTX	20	18	13	10
NDARVJ685ZW5	19	18	15	11
NDARWH778CPD	25	18	13	11
NDARXU018RGY	19	18	13	12
NDARXU902BRT	26	18	16	12
NDAREK801BPB	21	17	16	13
NDAREY512KVX	18	17	14	8
NDARFB908HVX	20	17	13	11
NDARHG321LLD	20	17	14	7
NDARJF027UGB	21	17	14	11
NDARRM586XYL	22	17	15	6
NDARRW940BL6	21	17	13	7
NDARTB883GUN	23	17	14	11
NDARTC802PGL	22	17	12	7
NDARTH473LF8	18	17	14	12
NDARVP135ZGE	22	17	14	9
